"","GSM128731","GSM128734","GSM131685","GSM131686","GSM131687","GSM131688","GSM131689","GSM131690","GSM131691","GSM131692","GSM131693","GSM133816","GSM133817","GSM133818","GSM133819","GSM133820","GSM133821"
"AT2G21390",10.9135164941336,10.8670931137055,9.5208290238364,9.56112766806665,9.47383533725113,10.198703235244,10.2041858996731,10.094546910505,10.1312571926247,10.2040777533709,10.152206646148,9.48657298399063,9.23573824082265,9.46902690043837,9.28157835500224,9.85218889332226,9.9424138900776
"AT2G23330",4.79812020905553,4.90341944854359,6.21907195467636,6.45808411495463,6.2380578226598,6.64311672667853,6.61602701097655,6.67988421792711,6.39384341785284,6.42481808070209,6.59101408560862,6.24016026089332,6.60198187248689,6.78799923041656,7.18388390290609,6.72551625614174,7.19821462933602
"AT2G21655",6.01318008624828,4.13324146152486,4.21249476687809,4.17575215864199,4.15615745384908,3.84941522094885,3.92315777318251,4.2182241201312,4.00417014371445,3.93612159091957,4.20083520059271,4.51050724168401,4.02527943808042,4.07354245807774,4.25971529974038,4.12319484131782,4.02448107589119
"AT2G23340",6.74002475699062,6.66521837311395,8.09864966564915,8.0975173274949,8.1022995230316,8.17368029283262,7.87661203300814,7.77947212014002,7.71414299931674,7.77192836135146,7.65353179851676,7.29457751069467,7.03086307144937,7.35687725757922,7.01150375769059,7.20311439520816,6.90862628408103
"AT2G21860",6.96286953325514,6.66690283959061,8.83821017044487,8.84588672381246,8.68957661141551,8.35185042330662,8.44586531708728,8.56924730464789,8.24809012149094,8.27515125544015,8.34758648824594,8.36808158419634,7.78693428726855,8.34764487951297,7.6264355758045,8.33894125538769,8.01313914461889
"AT2G23120",10.2334839711897,10.0530339748107,12.9685314953909,12.908021096102,12.8472314365933,12.1241748689478,12.1286180404542,12.1630340183143,12.4263340871409,12.2312279842277,12.2593619388697,11.1200977101937,11.0782947663076,11.1519273182888,9.82414594136902,11.1463525372634,10.3475788907436
"AT2G24830",6.55202331149051,6.66621573423942,7.50878668045296,7.43149035096536,6.87370512652057,7.0811858174918,7.05915637559611,6.93521929529821,6.78456502596516,6.68670956682419,6.70312131703492,6.71453344129391,6.89574992162648,7.03215976517084,7.41572526750128,7.27229490417722,7.06611947444272
"AT2G24470",3.82751466183024,3.73416994863508,3.41683144107691,3.44964870490071,3.46704558498619,3.63474528918862,3.53507216954262,3.58856958256173,3.79478724391576,3.72824581126377,3.62652290496421,3.67422028819289,3.74891853102831,3.54394172463996,3.61884768279794,3.66936389739372,3.57352502585501
"AT2G27180",6.80778931327748,7.77339358011424,9.13359723644574,8.92771992075791,9.00669223316858,6.08767202329594,5.63478212415524,5.72210836231844,6.29197428137254,6.20545501814768,6.28750703741269,5.70522881455844,4.84370535065041,5.2202106267552,4.97387218217604,5.42507120957113,5.53712947082765
"AT2G27450",7.54992547407033,7.89972821155057,8.71091209352945,8.74843511883938,8.73824034237474,8.32911601479398,8.4263191662334,8.31892293323494,8.36096355250829,8.40083225759496,8.27727562610507,7.47358326934504,6.79693739319019,7.81403637247119,8.37281633391772,8.55707666973223,8.23880734596092
